taxid,scientific_name,level,total,unique,signature,unique_signature,weighted_support,unique_weighted_support,superkingdom,phylum,class,order,family,genus,species
2,Bacteria,superkingdom,706996,503422,701003,499357,703942,501354,2,,,,,,
201174,Actinobacteria,phylum,411216,278400,391803,265962,400644,271714,2,201174,,,,,
1760,Actinobacteria,class,411046,278286,390835,265301,399457,270889,2,201174,1760,,,,
85006,Micrococcales,order,378218,254233,294700,198300,327462,220302,2,201174,1760,85006,,,
1268,Micrococcaceae,family,348953,233277,248639,166468,284679,190550,2,201174,1760,85006,1268,,
1224,Proteobacteria,phylum,219465,169800,203762,158978,210993,163960,2,1224,,,,,
28211,Alphaproteobacteria,class,207441,161447,198740,155269,202349,157826,2,1224,28211,,,,
356,Rhizobiales,order,202170,157656,193508,151207,196667,153578,2,1224,28211,356,,,
45401,Hyphomicrobiaceae,family,197291,154073,188427,147385,191674,149843,2,1224,28211,356,45401,,
46913,Devosia,genus,196857,153755,186802,146154,190338,148835,2,1224,28211,356,45401,46913,
2499144,Devosia sp. 1566,species,194652,152057,180931,141690,185585,145212,2,1224,28211,356,45401,46913,2499144
1663,Arthrobacter,genus,302617,200771,138220,93433,192581,129228,2,201174,1760,85006,1268,1663,1663
1239,Firmicutes,phylum,90238,64891,87166,62694,88469,63632,2,1239,,,,,
91061,Bacilli,class,87622,63000,85110,61189,86157,61944,2,1239,91061,,,,
1385,Bacillales,order,86981,62526,83909,60309,85163,61217,2,1239,91061,1385,,,
186817,Bacillaceae,family,72589,51874,62680,44512,67039,47758,2,1239,91061,1385,186817,,
1461584,Arthrobacter saudimassiliensis,species,126781,82240,52383,35092,67518,44837,2,201174,1760,85006,1268,1663,1461584
2651279,Pradoshia,genus,31189,21706,30111,20930,30514,21221,2,1239,91061,1385,186817,2651279,
2651284,Pradoshia sp. D12,species,31185,21702,30111,20930,30391,21131,2,1239,91061,1385,186817,2651279,2651284
1386,Bacillus,genus,25288,18248,19311,13826,21333,15323,2,1239,91061,1385,186817,1386,
1742993,Pseudarthrobacter,genus,95907,63059,11890,8413,38783,26093,2,201174,1760,85006,1268,1742993,
85023,Microbacteriaceae,family,53079,35880,11702,8414,25361,17559,2,201174,1760,85006,85023,,
400634,Lysinibacillus,genus,16923,12520,8821,6502,11809,8730,2,1239,91061,1385,186817,400634,
57493,Kocuria,genus,59619,38224,8350,5871,22447,14789,2,201174,1760,85006,1268,57493,
186822,Paenibacillaceae,family,8333,6168,7297,5419,7648,5674,2,1239,91061,1385,186822,,
44249,Paenibacillus,genus,7967,5898,7165,5330,7396,5496,2,1239,91061,1385,186822,44249,
37928,Arthrobacter crystallopoietes,species,41282,25134,6924,4512,12878,8166,2,201174,1760,85006,1268,1663,37928
85007,Corynebacteriales,order,42789,29432,6646,4830,19470,13565,2,201174,1760,85007,,,
2062,Streptomycetaceae,family,33215,23320,6568,4881,14595,10452,2,201174,1760,85011,2062,,
85011,Streptomycetales,order,33205,23310,6568,4881,15769,11256,2,201174,1760,85011,,,
186818,Planococcaceae,family,14456,10734,5942,4395,9708,7205,2,1239,91061,1385,186818,,
1883,Streptomyces,genus,32060,22498,5933,4375,12386,8899,2,201174,1760,85011,2062,1883,1883
2169540,Lysinibacillus sp. 2017,species,10675,7946,5338,3965,6773,5036,2,1239,91061,1385,186817,400634,2169540
2759,Eukaryota,superkingdom,10553,7428,5149,3774,7802,5569,2759,,,,,,
1275,Kocuria rosea,species,39266,24224,4416,3052,10339,6738,2,201174,1760,85006,1268,57493,1275
648800,Solibacillus,genus,10708,7940,4262,3151,6668,4946,2,1239,91061,1385,186818,648800,
1742989,Glutamicibacter,genus,34180,22529,4005,2829,12206,8202,2,201174,1760,85006,1268,1742989,
528191,Paenibacillus xylanexedens,species,6183,4588,3926,2954,4977,3717,2,1239,91061,1385,186822,44249,528191
4890,Ascomycota,phylum,3788,2862,3526,2651,3616,2722,2759,4890,,,,,
147545,Eurotiomycetes,class,3568,2688,3452,2603,3497,2635,2759,4890,147545,,,,
5042,Eurotiales,order,3543,2667,3448,2600,3483,2624,2759,4890,147545,5042,,,
1131492,Aspergillaceae,family,3542,2666,3446,2599,3481,2622,2759,4890,147545,5042,1131492,,
5073,Penicillium,genus,3533,2658,3426,2586,3464,2611,2759,4890,147545,5042,1131492,5073,
656366,Arthrobacter alpinus,species,34066,21762,3255,2280,7837,5311,2,201174,1760,85006,1268,1663,656366
1108849,Penicillium rubens,species,3531,2656,3217,2434,3329,2515,2759,4890,147545,5042,1131492,5073,1108849
85009,Propionibacteriales,order,25975,17759,3152,2308,10772,7477,2,201174,1760,85009,,,
28056,Micromonosporaceae,family,13681,9689,3134,2377,5971,4345,2,201174,1760,85008,28056,,
85008,Micromonosporales,order,13681,9689,3134,2377,6368,4617,2,201174,1760,85008,,,
33882,Microbacterium,genus,22070,14861,3095,2265,7240,5058,2,201174,1760,85006,85023,33882,
1704044,Arthrobacter sp. ERGS1:01,species,33760,21671,2969,2071,7582,5127,2,201174,1760,85006,1268,1663,1704044
361575,Pseudarthrobacter phenanthrenivorans,species,34321,21672,2728,1913,6820,4591,2,201174,1760,85006,1268,1742993,361575
2211210,Arthrobacter sp. DCT-5,species,28740,18351,2566,1794,6183,4209,2,201174,1760,85006,1268,1663,2211210
2017685,Arthrobacter sp. PM3,species,35943,23551,2549,1832,6944,4789,2,201174,1760,85006,1268,1663,2017685
1849032,Arthrobacter sp. U41,species,37764,24306,2429,1783,7025,4872,2,201174,1760,85006,1268,1663,1849032
76853,Solibacillus silvestris,species,7265,5387,2393,1760,3630,2687,2,1239,91061,1385,186818,648800,76853
37921,Arthrobacter agilis,species,30560,18851,2345,1637,7430,4822,2,201174,1760,85006,1268,1663,37921
1357915,Arthrobacter sp. QXT-31,species,36205,22772,2318,1565,6564,4347,2,201174,1760,85006,1268,1663,1357915
2565366,Arthrobacter sp. PAMC25564,species,36908,23494,2294,1626,6663,4528,2,201174,1760,85006,1268,1663,2565366
1408,Bacillus pumilus,species,6284,4239,2244,1558,3423,2344,2,1239,91061,1385,186817,1386,1408
1571833,Arthrobacter sp. MN05-02,species,30967,18797,2219,1519,7363,4731,2,201174,1760,85006,1268,1663,1571833
2600159,Arthrobacter sp. UKPF54-2,species,40941,26633,2186,1555,7442,5118,2,201174,1760,85006,1268,1663,2600159
2578107,Arthrobacter sp. KBS0702,species,40542,26083,2155,1534,7230,4936,2,201174,1760,85006,1268,1663,2578107
85025,Nocardiaceae,family,18357,12558,2063,1471,6330,4393,2,201174,1760,85007,85025,,
85015,Nocardioidaceae,family,18486,12710,2044,1555,6375,4499,2,201174,1760,85009,85015,,
596707,Sinomonas,genus,21077,13773,2005,1404,6675,4483,2,201174,1760,85006,1268,596707,
1221880,Psychrobacillus,genus,3794,2789,1956,1425,2524,1846,2,1239,91061,1385,186817,1221880,
2575374,Arthrobacter sp. 24S4-2,species,35693,22519,1905,1360,6011,4076,2,201174,1760,85006,1268,1663,2575374
450367,[Brevibacterium] frigoritolerans,species,7104,5255,1859,1381,3865,2866,2,1239,91061,1385,186817,1386,450367
1873,Micromonospora,genus,8873,6378,1781,1391,3414,2541,2,201174,1760,85008,28056,1873,
1762,Mycobacteriaceae,family,15352,10661,1768,1283,5307,3742,2,201174,1760,85007,1762,,
1494608,Arthrobacter sp. PAMC 25486,species,20573,13018,1733,1154,4391,2909,2,201174,1760,85006,1268,1663,1494608
2079227,Arthrobacter sp. PGP41,species,32019,20082,1708,1200,5257,3527,2,201174,1760,85006,1268,1663,2079227
290399,Arthrobacter sp. FB24,species,33131,20847,1705,1243,5435,3699,2,201174,1760,85006,1268,1663,290399
728066,Pseudarthrobacter equi,species,32718,21068,1628,1150,5567,3775,2,201174,1760,85006,1268,1742993,728066
2048654,Solibacillus sp. R5-41,species,6237,4634,1608,1199,2727,2035,2,1239,91061,1385,186818,648800,2048654
186801,Clostridia,class,2795,2015,1568,1146,2029,1478,2,1239,186801,,,,
186802,Clostridiales,order,2756,1982,1553,1135,1924,1401,2,1239,186801,186802,,,
1236,Gammaproteobacteria,class,9829,6954,1544,1129,4732,3367,2,1224,1236,,,,
2303505,Psychrobacillus sp. AK 1817,species,2924,2139,1521,1114,1824,1332,2,1239,91061,1385,186817,1221880,2303505
1588023,Arthrobacter sp. Hiyo8,species,25886,15565,1491,960,4326,2731,2,201174,1760,85006,1268,1663,1588023
1653,Corynebacteriaceae,family,13817,9409,1472,1101,4925,3429,2,201174,1760,85007,1653,,
1716,Corynebacterium,genus,13808,9401,1462,1096,4115,2901,2,201174,1760,85007,1653,1716,
85016,Cellulomonadaceae,family,12185,8316,1419,1072,4280,3014,2,201174,1760,85006,85016,,
162496,Glutamicibacter creatinolyticus,species,15332,10040,1402,992,3375,2310,2,201174,1760,85006,1268,1742989,162496
