taxid,scientific_name,level,total,unique,signature,unique_signature,weighted_support,unique_weighted_support,superkingdom,phylum,class,order,family,genus,species
2,Bacteria,superkingdom,30361,15417,29231,14853,29752,15115,2,2,2,2,2,2,2
1239,Firmicutes,phylum,20266,9890,19611,9550,19867,9685,2,1239,,,,,
91061,Bacilli,class,19477,9485,18821,9144,19071,9274,2,1239,91061,,,,
1385,Bacillales,order,19311,9401,18530,9003,18836,9158,2,1239,91061,1385,,,
186817,Bacillaceae,family,13957,6554,11570,5327,12601,5847,2,1239,91061,1385,186817,,
201174,Actinobacteria,phylum,8625,4847,7940,4490,8236,4642,2,201174,,,,,
1760,Actinobacteria,class,8613,4841,7927,4482,8212,4629,2,201174,1760,,,,
85006,Micrococcales,order,7623,4323,5986,3413,6620,3764,2,201174,1760,85006,,,
1268,Micrococcaceae,family,7102,4027,5082,2903,5799,3300,2,201174,1760,85006,1268,,
2651279,Pradoshia,genus,4803,2283,4711,2237,4742,2253,2,1239,91061,1385,186817,2651279,
2651284,Pradoshia sp. D12,species,4803,2283,4711,2237,4735,2249,2,1239,91061,1385,186817,2651279,2651284
1386,Bacillus,genus,5397,2327,4161,1676,4541,1870,2,1239,91061,1385,186817,1386,
186822,Paenibacillaceae,family,4003,2143,3830,2053,3893,2085,2,1239,91061,1385,186822,,
44249,Paenibacillus,genus,3978,2124,3818,2046,3866,2070,2,1239,91061,1385,186822,44249,
2759,Eukaryota,superkingdom,4621,1995,3529,1440,4046,1703,2759,,,,,,
1663,Arthrobacter,genus,6087,3443,2871,1633,3933,2228,2,201174,1760,85006,1268,1663,1663
7711,Chordata,phylum,3680,1538,2614,931,2950,1119,2759,7711,,,,,
40674,Mammalia,class,3572,1470,2559,897,2836,1047,2759,7711,40674,,,,
9443,Primates,order,3196,1253,2380,830,2579,926,2759,7711,40674,9443,,,
528191,Paenibacillus xylanexedens,species,3290,1750,2083,1114,2652,1412,2,1239,91061,1385,186822,44249,528191
400634,Lysinibacillus,genus,3978,2078,1948,1033,2682,1401,2,1239,91061,1385,186817,400634,
9604,Hominidae,family,3189,1246,1872,658,2287,822,2759,7711,40674,9443,9604,,
9605,Homo,genus,3143,1227,1410,504,1961,711,2759,7711,40674,9443,9604,9605,
9606,Homo sapiens,species,3143,1227,1410,504,1941,702,2759,7711,40674,9443,9604,9605,9606
186818,Planococcaceae,family,3303,1725,1275,684,2166,1136,2,1239,91061,1385,186818,,
1461584,Arthrobacter saudimassiliensis,species,2678,1492,1271,714,1547,864,2,201174,1760,85006,1268,1663,1461584
2169540,Lysinibacillus sp. 2017,species,2509,1296,1067,560,1462,749,2,1239,91061,1385,186817,400634,2169540
1224,Proteobacteria,phylum,2104,1017,945,421,1370,638,2,1224,,,,,
648800,Solibacillus,genus,2537,1335,908,493,1508,795,2,1239,91061,1385,186818,648800,
186801,Clostridia,class,887,452,713,366,777,398,2,1239,186801,,,,
186802,Clostridiales,order,879,448,711,365,772,395,2,1239,186801,186802,,,
1408,Bacillus pumilus,species,1559,544,568,209,860,309,2,1239,91061,1385,186817,1386,1408
260554,Bacillus halotolerans,species,861,332,431,173,507,201,2,1239,91061,1385,186817,1386,260554
2048654,Solibacillus sp. R5-41,species,1631,871,430,230,714,374,2,1239,91061,1385,186818,648800,2048654
76853,Solibacillus silvestris,species,1715,893,429,237,747,393,2,1239,91061,1385,186818,648800,76853
186803,Lachnospiraceae,family,500,244,395,193,430,210,2,1239,186801,186802,186803,,
28216,Betaproteobacteria,class,550,227,350,136,416,167,2,1224,28216,,,,
4890,Ascomycota,phylum,455,249,331,142,356,163,2759,4890,,,,,
1221880,Psychrobacillus,genus,765,395,330,169,454,231,2,1239,91061,1385,186817,1221880,
80840,Burkholderiales,order,512,215,323,128,387,155,2,1224,28216,80840,,,
1236,Gammaproteobacteria,class,1198,613,297,131,585,282,2,1224,1236,,,,
698776,Cellulosilyticum,genus,347,173,295,148,309,155,2,1239,186801,186802,186803,698776,
147545,Eurotiomycetes,class,318,151,283,122,289,127,2759,4890,147545,,,,
5042,Eurotiales,order,292,131,282,121,284,123,2759,4890,147545,5042,,,
1131492,Aspergillaceae,family,292,131,282,121,284,123,2759,4890,147545,5042,1131492,,
5073,Penicillium,genus,287,126,282,121,283,122,2759,4890,147545,5042,1131492,5073,
28211,Alphaproteobacteria,class,473,250,257,131,342,176,2,1224,28211,,,,
1108849,Penicillium rubens,species,285,124,257,110,265,115,2759,4890,147545,5042,1131492,5073,1108849
541000,Ruminococcaceae,family,253,144,243,137,245,138,2,1239,186801,186802,541000,,
1263,Ruminococcus,genus,248,140,242,136,243,137,2,1239,186801,186802,541000,1263,
75682,Oxalobacteraceae,family,283,100,237,80,251,86,2,1224,28216,80840,75682,,
1264,Ruminococcus albus,species,243,137,235,132,239,134,2,1239,186801,186802,541000,1263,1264
1742993,Pseudarthrobacter,genus,1882,1083,225,142,749,442,2,201174,1760,85006,1268,1742993,
963,Herbaspirillum,genus,268,92,209,76,232,82,2,1224,28216,80840,75682,963,
356,Rhizobiales,order,274,148,202,104,221,115,2,1224,28211,356,,,
2607911,Paenibacillus sp. 37,species,1223,646,196,107,686,363,2,1239,91061,1385,186822,44249,2607911
57493,Kocuria,genus,1275,739,189,114,472,276,2,201174,1760,85006,1268,57493,
2303505,Psychrobacillus sp. AK 1817,species,514,271,185,96,252,130,2,1239,91061,1385,186817,1221880,2303505
85023,Microbacteriaceae,family,1036,569,169,105,468,262,2,201174,1760,85006,85023,,
35493,Streptophyta,phylum,1108,632,166,76,429,232,2759,35493,,,,,
72274,Pseudomonadales,order,289,154,163,76,198,99,2,1224,1236,72274,,,
425254,Cellulosilyticum ruminicola,species,164,86,162,84,163,85,2,1239,186801,186802,186803,698776,425254
85007,Corynebacteriales,order,889,517,157,93,431,247,2,201174,1760,85007,,,
863372,Herbaspirillum huttiense,species,260,87,152,55,184,65,2,1224,28216,80840,75682,963,863372
