taxid,scientific_name,level,total,unique,signature,unique_signature,weighted_support,unique_weighted_support,superkingdom,phylum,class,order,family,genus,species
2,Bacteria,superkingdom,242174,233957,221755,214873,231469,223941,2,,,,,,
1239,Firmicutes,phylum,192400,185898,170356,165498,178399,172945,2,1239,,,,,
91061,Bacilli,class,133511,129571,127111,123766,129429,125876,2,1239,91061,,,,
1385,Bacillales,order,131466,127653,125622,122344,127738,124271,2,1239,91061,1385,,,
186817,Bacillaceae,family,112893,109605,104433,101743,107837,104926,2,1239,91061,1385,186817,,
2651279,Pradoshia,genus,87321,85211,85233,83210,86035,83981,2,1239,91061,1385,186817,2651279,
2651284,Pradoshia sp. D12,species,87321,85211,85233,83210,85810,83766,2,1239,91061,1385,186817,2651279,2651284
2759,Eukaryota,superkingdom,75435,71828,55445,53160,64948,62023,2759,,,,,,
186801,Clostridia,class,60055,57297,39220,37853,46274,44455,2,1239,186801,,,,
186802,Clostridiales,order,59775,57027,38825,37478,45456,43675,2,1239,186801,186802,186802,186802,186802
7711,Chordata,phylum,46640,45161,29729,29026,34728,33790,2759,7711,,,,,
40674,Mammalia,class,45540,44122,29488,28790,33953,33053,2759,7711,40674,,,,
91561,Artiodactyla,order,38611,37628,28497,27830,31155,30408,2759,7711,40674,91561,,,
9895,Bovidae,family,38601,37614,27309,26675,30135,29416,2759,7711,40674,91561,9895,9895,9895
2157,Archaea,superkingdom,19847,19300,19292,18771,19558,19024,2157,,,,,,
28890,Euryarchaeota,phylum,19827,19281,19280,18759,19532,18999,2157,28890,,,,,
2158,Methanobacteriales,order,19685,19144,19159,18641,19407,18878,2157,28890,183925,2158,,,
183925,Methanobacteria,class,19685,19144,19159,18641,19408,18879,2157,28890,183925,,,,
2159,Methanobacteriaceae,family,19683,19142,19127,18613,19379,18853,2157,28890,183925,2158,2159,,
2172,Methanobrevibacter,genus,18195,17683,17369,16891,17716,17224,2157,28890,183925,2158,2159,2172,
976,Bacteroidetes,phylum,23908,22774,17228,16569,19840,19007,2,976,,,,,
200643,Bacteroidia,class,21250,20246,14781,14234,17134,16438,2,976,200643,,,,
9903,Bos,genus,38133,37156,14670,14354,22849,22319,2759,7711,40674,91561,9895,9903,
171549,Bacteroidales,order,21040,20047,14566,14033,16876,16197,2,976,200643,171549,,,
35493,Streptophyta,phylum,25164,24323,13765,13454,16739,16276,2759,35493,,,,,
186822,Paenibacillaceae,family,11569,11278,9742,9548,10265,10052,2,1239,91061,1385,186822,,
44249,Paenibacillus,genus,10923,10687,9551,9362,9915,9714,2,1239,91061,1385,186822,44249,
400634,Lysinibacillus,genus,13438,12931,8741,8503,10417,10101,2,1239,91061,1385,186817,400634,
2169540,Lysinibacillus sp. 2017,species,11365,10965,7929,7720,8896,8649,2,1239,91061,1385,186817,400634,2169540
1386,Bacillus,genus,14154,13344,7780,7461,9884,9408,2,1239,91061,1385,186817,1386,
3646,Malpighiales,order,9640,9420,7774,7626,8264,8100,2759,35493,3646,3646,,,
201174,Actinobacteria,phylum,13616,13170,7487,7325,9738,9487,2,201174,,,,,
815,Bacteroidaceae,family,12045,11538,6996,6786,8657,8359,2,976,200643,171549,815,,
816,Bacteroides,genus,12008,11503,6974,6765,8531,8242,2,976,200643,171549,815,816,
77133,uncultured bacterium,species,41418,38454,6954,6564,16275,15260,2,77133,77133,77133,77133,77133,77133
1224,Proteobacteria,phylum,22523,21698,6850,6681,11933,11537,2,1224,,,,,
541000,Ruminococcaceae,family,19740,18446,6612,6387,10154,9707,2,1239,186801,186802,541000,,
186803,Lachnospiraceae,family,13539,13031,6611,6427,8805,8535,2,1239,186801,186802,186803,186803,186803
4447,Liliopsida,class,11368,11039,6427,6265,7557,7353,2759,35493,4447,,,,
38820,Poales,order,11164,10836,6401,6239,7448,7245,2759,35493,4447,38820,,,
4479,Poaceae,family,11151,10824,6388,6226,7357,7162,2759,35493,4447,38820,4479,,
31979,Clostridiaceae,family,17176,16344,6238,6013,8777,8427,2,1239,186801,186802,31979,,
186818,Planococcaceae,family,11603,11115,6008,5847,8360,8077,2,1239,91061,1385,186818,,
1918454,Flintibacter,genus,19962,18476,5688,5542,9208,8862,2,1239,186801,186802,1918454,1918454,
1485,Clostridium,genus,14578,13872,5533,5330,7148,6863,2,1239,186801,186802,31979,1485,1485
648800,Solibacillus,genus,9085,8739,5425,5279,6787,6583,2,1239,91061,1385,186818,648800,
2109688,Clostridiales bacterium CCNA10,species,23532,21708,5103,4935,9383,8989,2,1239,186801,186802,2109688,2109688,2109688
76853,Solibacillus silvestris,species,7758,7460,4651,4521,5498,5337,2,1239,91061,1385,186818,648800,76853
1609968,Methanobrevibacter sp. YE315,species,8114,7891,4645,4524,5897,5744,2157,28890,183925,2158,2159,2172,1609968
1760,Actinobacteria,class,8684,8351,4039,3947,5452,5296,2,201174,1760,,,,
3688,Salicaceae,family,4366,4284,3859,3785,4033,3957,2759,35493,3646,3646,3688,,
3689,Populus,genus,4318,4238,3498,3437,3778,3709,2759,35493,3646,3646,3688,3689,
84998,Coriobacteriia,class,5335,5220,3207,3140,4023,3938,2,201174,84998,,,,
9913,Bos taurus,species,36289,35364,3065,3014,13798,13488,2759,7711,40674,91561,9895,9903,9913
1236,Gammaproteobacteria,class,14537,14028,2963,2899,6100,5900,2,1224,1236,,,,
230361,Methanobrevibacter millerae,species,6148,5973,2878,2794,4036,3925,2157,28890,183925,2158,2159,2172,230361
2610895,Flintibacter sp. KGMB00164,species,9950,9208,2844,2771,4420,4266,2,1239,186801,186802,1918454,1918454,2610895
216851,Faecalibacterium,genus,6653,6218,2741,2666,3624,3497,2,1239,186801,186802,541000,216851,216851
853,Faecalibacterium prausnitzii,species,6631,6197,2735,2660,3537,3419,2,1239,186801,186802,541000,216851,853
4890,Ascomycota,phylum,3742,3526,2480,2337,2872,2704,2759,4890,,,,,
216572,Oscillospiraceae,family,8710,7821,2466,2349,3906,3657,2,1239,186801,186802,216572,,
1446380,Pinales,order,2792,2726,2448,2390,2567,2506,2759,35493,1446380,1446380,,,
3694,Populus trichocarpa,species,3569,3504,2337,2298,2690,2642,2759,35493,3646,3646,3688,3689,3694
171552,Prevotellaceae,family,5434,5138,2297,2209,3235,3091,2,976,200643,171549,171552,,
294671,Methanobrevibacter olleyae,species,4666,4516,2190,2127,3122,3029,2157,28890,183925,2158,2159,2172,294671
83816,Methanobrevibacter ruminantium,species,4827,4666,2185,2120,3179,3080,2157,28890,183925,2158,2159,2172,83816
85006,Micrococcales,order,4025,3890,2032,1994,2572,2512,2,201174,1760,85006,,,
838,Prevotella,genus,4665,4423,2023,1943,2729,2612,2,976,200643,171549,171552,838,
84999,Coriobacteriales,order,3325,3245,1637,1595,2240,2184,2,201174,84998,84999,,,
91347,Enterobacterales,order,8963,8788,1633,1607,3380,3317,2,1224,1236,91347,,,
28211,Alphaproteobacteria,class,5054,4877,1609,1571,2680,2601,2,1224,28211,,,,
33084,Entamoebidae,family,2224,2064,1520,1420,1747,1628,2759,33084,33084,33084,33084,,
528191,Paenibacillus xylanexedens,species,6659,6532,1490,1467,3950,3880,2,1239,91061,1385,186822,44249,528191
2316,Methanosphaera,genus,1648,1615,1454,1425,1530,1500,2157,28890,183925,2158,2159,2316,
