TaxID,Scientific_Name,Level,Total_Hits,Unique_Hits,Signature_Hits,Unique_Signature_Hits,Weighted_Support,Unique_Weighted_Support,Exp_Unique_Hits,Exp_Unique_Signature_Hits,Exp_Prop(USH/UH),Obs_Prop(USH/UH),P_value,Significant,User_Filter,Cohens H,Superkingdom,Phylum,Class,Order,Family,Genus,Species
2,Bacteria,superkingdom,192331,187492,177479,173679,184669,180365,,,,0.92633,,,True,,2,,,,,,
1239,Firmicutes,phylum,153680,149889,133889,131372,140350,137430,,,,0.87646,,,True,,2,1239.00000,,,,,
91061,Bacilli,class,109973,107798,104759,103017,106661,104767,,,,0.95565,,,True,,2,1239.00000,91061.00000,,,,
1385,Bacillales,order,108004,105890,103017,101318,104841,102996,,,,0.95682,,,True,,2,1239.00000,91061.00000,1385.00000,,,
186817,Bacillaceae,family,86439,84737,76694,75537,80691,79350,,,,0.89143,,,True,,2,1239.00000,91061.00000,1385.00000,186817.00000,,
2759,Eukaryota,superkingdom,93484,88444,77902,73951,85446,80966,,,,0.83613,,,True,,2759,,,,,,
2651279,Pradoshia,genus,65571,64603,63932,63014,64563,63628,9797.00000,9665.00000,0.98653,0.97540,0.00000,True,True,0.08229,2,1239.00000,91061.00000,1385.00000,186817.00000,2651279.00000,
2651284,Pradoshia sp. D12,species,65571,64603,63932,63014,64379,63451,99029.00000,97610.00000,0.98567,0.97540,0.00000,True,True,0.07498,2,1239.00000,91061.00000,1385.00000,186817.00000,2651279.00000,2651284.00000
7711,Chordata,phylum,78747,76749,57517,56532,64296,63006,,,,0.73658,,,True,,2759,7711.00000,,,,,
40674,Mammalia,class,78189,76231,57201,56225,63554,62315,,,,0.73756,,,True,,2759,7711.00000,40674.00000,,,,
91561,Artiodactyla,order,75868,74127,55484,54550,60781,59684,,,,0.73590,,,True,,2759,7711.00000,40674.00000,91561.00000,,,
9895,Bovidae,family,76119,74376,53361,52454,58975,57908,,,,0.70525,,,True,,2759,7711.00000,40674.00000,91561.00000,9895.00000,9895.00000,9895.00000
9903,Bos,genus,75400,73664,31366,30805,46364,45510,18463.00000,5700.00000,0.30873,0.41818,0.00000,True,True,0.22818,2759,7711.00000,40674.00000,91561.00000,9895.00000,9903.00000,
186801,Clostridia,class,44621,42912,26436,25732,31840,30866,,,,0.59965,,,True,,2,1239.00000,186801.00000,,,,
186802,Clostridiales,order,44428,42721,26151,25453,31120,30169,,,,0.59580,,,True,,2,1239.00000,186801.00000,186802.00000,,,
2157,Archaea,superkingdom,18705,18389,18220,17920,18455,18147,,,,0.97450,,,True,,2157,,,,,,
28890,Euryarchaeota,phylum,18702,18386,18212,17912,18442,18134,,,,0.97422,,,True,,2157,28890.00000,,,,,
2158,Methanobacteriales,order,18550,18234,18037,17738,18283,17976,,,,0.97280,,,True,,2157,28890.00000,183925.00000,2158.00000,,,
183925,Methanobacteria,class,18550,18234,18037,17738,18284,17976,,,,0.97280,,,True,,2157,28890.00000,183925.00000,,,,
2159,Methanobacteriaceae,family,18550,18234,18004,17705,18249,17941,,,,0.97099,,,True,,2157,28890.00000,183925.00000,2158.00000,2159.00000,,
2172,Methanobrevibacter,genus,14797,14530,13990,13751,14323,14072,41752.00000,41091.00000,0.98417,0.94639,0.00000,True,True,0.21502,2157,28890.00000,183925.00000,2158.00000,2159.00000,2172.00000,
201174,Actinobacteria,phylum,19365,18810,13784,13558,15602,15294,,,,0.72079,,,True,,2,201174.00000,,,,,
186818,Planococcaceae,family,20735,20032,12807,12556,16161,15754,,,,0.62680,,,True,,2,1239.00000,91061.00000,1385.00000,186818.00000,,
976,Bacteroidetes,phylum,17113,16486,12253,11937,14167,13734,,,,0.72407,,,True,,2,976.00000,,,,,
648800,Solibacillus,genus,18529,17873,12148,11913,14447,14102,13270.00000,12231.00000,0.92170,0.66654,1.00000,False,True,0.66403,2,1239.00000,91061.00000,1385.00000,186818.00000,648800.00000,
1760,Actinobacteria,class,16172,15695,11570,11390,12821,12579,,,,0.72571,,,True,,2,201174.00000,1760.00000,,,,
76853,Solibacillus silvestris,species,16620,16046,10962,10764,12470,12208,35431.00000,30950.00000,0.87353,0.67082,0.26258,False,True,0.49496,2,1239.00000,91061.00000,1385.00000,186818.00000,648800.00000,76853.00000
200643,Bacteroidia,class,15203,14638,10527,10266,12244,11879,,,,0.70133,,,True,,2,976.00000,200643.00000,,,,
171549,Bacteroidales,order,15059,14504,10386,10129,12073,11718,,,,0.69836,,,True,,2,976.00000,200643.00000,171549.00000,,,
85006,Micrococcales,order,11472,11217,7913,7791,9127,8968,,,,0.69457,,,True,,2,201174.00000,1760.00000,85006.00000,,,
186822,Paenibacillaceae,family,8141,7998,6744,6658,7150,7052,,,,0.83246,,,True,,2,1239.00000,91061.00000,1385.00000,186822.00000,,
44249,Paenibacillus,genus,7634,7517,6632,6547,6899,6807,19807.00000,19604.00000,0.98975,0.87096,0.99994,False,True,0.53205,2,1239.00000,91061.00000,1385.00000,186822.00000,44249.00000,
9913,Bos taurus,species,71961,70288,6499,6405,28062,27541,94081.00000,8880.00000,0.09439,0.09113,0.00000,True,True,0.01124,2759,7711.00000,40674.00000,91561.00000,9895.00000,9903.00000,9913.00000
1268,Micrococcaceae,family,9818,9593,6411,6313,7509,7379,,,,0.65808,,,True,,2,201174.00000,1760.00000,85006.00000,1268.00000,,
815,Bacteroidaceae,family,9497,9147,5574,5449,6894,6702,,,,0.59571,,,True,,2,976.00000,200643.00000,171549.00000,815.00000,,
816,Bacteroides,genus,9470,9120,5564,5440,6801,6618,74828.00000,64007.00000,0.85539,0.59649,1.00000,False,True,0.59640,2,976.00000,200643.00000,171549.00000,815.00000,816.00000,
1386,Bacillus,genus,10914,10553,5389,5292,7077,6923,24978.00000,22658.00000,0.90712,0.50147,1.00000,False,True,0.94848,2,1239.00000,91061.00000,1385.00000,186817.00000,1386.00000,
31979,Clostridiaceae,family,17153,16380,5428,5253,7672,7403,,,,0.32070,,,True,,2,1239.00000,186801.00000,186802.00000,31979.00000,,
400634,Lysinibacillus,genus,12312,11770,5097,4995,7634,7418,38646.00000,34987.00000,0.90532,0.42438,1.00000,False,True,1.09706,2,1239.00000,91061.00000,1385.00000,186817.00000,400634.00000,
1485,Clostridium,genus,15584,14855,4985,4825,6535,6303,45508.00000,39171.00000,0.86075,0.32481,1.00000,False,True,1.16395,2,1239.00000,186801.00000,186802.00000,31979.00000,1485.00000,1485.00000
541000,Ruminococcaceae,family,13126,12502,4332,4242,6696,6501,,,,0.33931,,,True,,2,1239.00000,186801.00000,186802.00000,541000.00000,,
35493,Streptophyta,phylum,15457,14512,4233,4162,7198,6872,,,,0.28680,,,True,,2759,35493.00000,,,,,
1609968,Methanobrevibacter sp. YE315,species,7349,7212,4153,4078,5293,5200,99866.00000,96437.00000,0.96566,0.56545,1.00000,False,True,1.06677,2157,28890.00000,183925.00000,2158.00000,2159.00000,2172.00000,1609968.00000
77133,uncultured bacterium,species,24720,22830,4284,4056,10510,9855,99225.00000,62662.00000,0.63151,0.17766,1.00000,False,True,0.96676,2,77133.00000,77133.00000,77133.00000,77133.00000,77133.00000,77133.00000
1918454,Flintibacter,genus,13024,12320,3762,3690,6030,5862,9886.00000,9200.00000,0.93061,0.29951,1.00000,False,True,1.45024,2,1239.00000,186801.00000,186802.00000,1918454.00000,1918454.00000,
186803,Lachnospiraceae,family,7942,7707,3768,3689,5056,4938,,,,0.47866,,,True,,2,1239.00000,186801.00000,186802.00000,186803.00000,186803.00000,186803.00000
2316,Methanosphaera,genus,3922,3867,3710,3661,3792,3741,19527.00000,18804.00000,0.96297,0.94673,0.00000,True,True,0.07855,2157,28890.00000,183925.00000,2158.00000,2159.00000,2316.00000,
2169540,Lysinibacillus sp. 2017,species,9027,8592,3675,3598,5082,4944,98608.00000,92957.00000,0.94269,0.41876,1.00000,False,True,1.25052,2,1239.00000,91061.00000,1385.00000,186817.00000,400634.00000,2169540.00000
230361,Methanobrevibacter millerae,species,6715,6589,3633,3566,4720,4636,66361.00000,63399.00000,0.95537,0.54121,1.00000,False,True,1.06255,2157,28890.00000,183925.00000,2158.00000,2159.00000,2172.00000,230361.00000
1789762,Methanosphaera sp. BMS,species,3813,3762,3568,3522,3641,3594,99922.00000,99066.00000,0.99143,0.93620,0.00000,True,True,0.32531,2157,28890.00000,183925.00000,2158.00000,2159.00000,2316.00000,1789762.00000
1663,Arthrobacter,genus,8070,7935,3537,3487,5011,4934,9679.00000,9041.00000,0.93408,0.43945,1.00000,False,True,1.17291,2,201174.00000,1760.00000,85006.00000,1268.00000,1663.00000,
1224,Proteobacteria,phylum,12244,11537,3444,3385,6385,6125,,,,0.29340,,,True,,2,1224.00000,,,,,
2109688,Clostridiales bacterium CCNA10,species,15363,14466,3219,3159,6051,5862,99639.00000,85376.00000,0.85685,0.21837,1.00000,False,True,1.39309,2,1239.00000,186801.00000,186802.00000,2109688.00000,2109688.00000,2109688.00000
4447,Liliopsida,class,4705,4491,2999,2943,3377,3289,,,,0.65531,,,True,,2759,35493.00000,4447.00000,,,,
38820,Poales,order,4643,4431,2988,2933,3330,3247,,,,0.66193,,,True,,2759,35493.00000,4447.00000,38820.00000,,,
4479,Poaceae,family,4643,4431,2987,2932,3269,3191,,,,0.66170,,,True,,2759,35493.00000,4447.00000,38820.00000,4479.00000,,
84998,Coriobacteriia,class,3416,3339,2057,2013,2582,2525,,,,0.60288,,,True,,2,201174.00000,84998.00000,,,,
72004,Bos mutus,species,60159,58915,1976,1944,20651,20320,94004.00000,2625.00000,0.02792,0.03300,0.00000,True,True,0.02954,2759,7711.00000,40674.00000,91561.00000,9895.00000,9903.00000,72004.00000
216572,Oscillospiraceae,family,6194,5725,1952,1881,2947,2806,,,,0.32856,,,True,,2,1239.00000,186801.00000,186802.00000,216572.00000,,
2610895,Flintibacter sp. KGMB00164,species,6487,6136,1881,1845,2896,2821,99725.00000,92368.00000,0.92623,0.30068,1.00000,False,True,1.43069,2,1239.00000,186801.00000,186802.00000,1918454.00000,1918454.00000,2610895.00000
216851,Faecalibacterium,genus,4421,4213,1760,1734,2363,2312,9401.00000,6963.00000,0.74067,0.41158,1.00000,False,True,0.67994,2,1239.00000,186801.00000,186802.00000,541000.00000,216851.00000,216851.00000
853,Faecalibacterium prausnitzii,species,4409,4201,1755,1729,2303,2257,94721.00000,69927.00000,0.73824,0.41157,1.00000,False,True,0.67445,2,1239.00000,186801.00000,186802.00000,541000.00000,216851.00000,853.00000
3646,Malpighiales,order,2730,2672,1452,1438,1691,1668,,,,0.53817,,,True,,2759,35493.00000,3646.00000,3646.00000,,,
1461584,Arthrobacter saudimassiliensis,species,3325,3272,1372,1351,1768,1742,97622.00000,89596.00000,0.91778,0.41290,1.00000,False,True,1.16427,2,201174.00000,1760.00000,85006.00000,1268.00000,1663.00000,1461584.00000
33084,Entamoebidae,family,1956,1892,1296,1260,1527,1482,,,,0.66596,,,True,,2759,33084.00000,33084.00000,33084.00000,33084.00000,,
186826,Lactobacillales,order,3255,3129,1170,1147,1877,1823,,,,0.36657,,,True,,2,1239.00000,91061.00000,186826.00000,,,
1236,Gammaproteobacteria,class,6951,6421,1145,1128,2716,2562,,,,0.17567,,,True,,2,1224.00000,1236.00000,,,,
171552,Prevotellaceae,family,3332,3170,1142,1115,1803,1740,,,,0.35174,,,True,,2,976.00000,200643.00000,171549.00000,171552.00000,,
528191,Paenibacillus xylanexedens,species,4786,4725,1125,1105,2851,2813,27325.00000,17441.00000,0.63828,0.23386,1.00000,False,True,0.84150,2,1239.00000,91061.00000,1385.00000,186822.00000,44249.00000,528191.00000
83816,Methanobrevibacter ruminantium,species,2624,2579,1047,1033,1561,1538,99424.00000,96487.00000,0.97046,0.40054,1.00000,False,True,1.42559,2157,28890.00000,183925.00000,2158.00000,2159.00000,2172.00000,83816.00000
171550,Rikenellaceae,family,2173,2063,1010,981,1304,1258,,,,0.47552,,,True,,2,976.00000,200643.00000,171549.00000,171550.00000,,
84999,Coriobacteriales,order,2037,2003,966,951,1352,1331,,,,0.47479,,,True,,2,201174.00000,84998.00000,84999.00000,,,
294671,Methanobrevibacter olleyae,species,2439,2391,967,951,1455,1429,73870.00000,70715.00000,0.95729,0.39774,1.00000,False,True,1.36044,2157,28890.00000,183925.00000,2158.00000,2159.00000,2172.00000,294671.00000
838,Prevotella,genus,2736,2616,947,930,1430,1388,21346.00000,19683.00000,0.92209,0.35550,1.00000,False,True,1.29822,2,976.00000,200643.00000,171549.00000,171552.00000,838.00000,
1643826,Eggerthellaceae,family,1845,1793,929,903,1204,1169,,,,0.50363,,,True,,2,201174.00000,84998.00000,1643822.00000,1643826.00000,,
239759,Alistipes,genus,1866,1794,927,903,1152,1119,,,,0.50334,,,True,,2,976.00000,200643.00000,171549.00000,171550.00000,239759.00000,
1643822,Eggerthellales,order,1845,1793,929,903,1251,1214,,,,0.50363,,,True,,2,201174.00000,84998.00000,1643822.00000,,,
946234,Flavonifractor,genus,4416,4111,827,813,1515,1467,1814.00000,1523.00000,0.83958,0.19776,1.00000,False,True,1.39573,2,1239.00000,186801.00000,186802.00000,541000.00000,946234.00000,
292800,Flavonifractor plautii,species,4387,4082,824,810,1466,1421,18157.00000,15326.00000,0.84408,0.19843,1.00000,False,True,1.40638,2,1239.00000,186801.00000,186802.00000,541000.00000,946234.00000,292800.00000
2048654,Solibacillus sp. R5-41,species,5124,4756,828,808,1755,1684,98904.00000,92248.00000,0.93270,0.16989,1.00000,False,True,1.76707,2,1239.00000,91061.00000,1385.00000,186818.00000,648800.00000,2048654.00000
28211,Alphaproteobacteria,class,3552,3391,798,785,1631,1575,,,,0.23150,,,True,,2,1224.00000,28211.00000,,,,
1263,Ruminococcus,genus,3948,3700,785,766,1355,1310,37770.00000,36643.00000,0.97016,0.20703,1.00000,False,True,1.84963,2,1239.00000,186801.00000,186802.00000,541000.00000,1263.00000,
74201,Verrucomicrobia,phylum,1345,1268,775,731,972,916,,,,0.57650,,,True,,2,74201.00000,,,,,
3688,Salicaceae,family,831,824,721,714,761,754,,,,0.86650,,,True,,2759,35493.00000,3646.00000,3646.00000,3688.00000,,
1502,Clostridium perfringens,species,3172,3007,720,700,1167,1130,95332.00000,70515.00000,0.73968,0.23279,1.00000,False,True,1.06374,2,1239.00000,186801.00000,186802.00000,31979.00000,1485.00000,1502.00000
1400053,Bacteroidales bacterium CF,species,2367,2235,720,696,1053,1012,99806.00000,99279.00000,0.99472,0.31141,1.00000,False,True,1.81209,2,976.00000,200643.00000,171549.00000,1400053.00000,1400053.00000,1400053.00000
3689,Populus,genus,829,822,696,689,736,729,9687.00000,7822.00000,0.80747,0.83820,0.00000,True,True,0.08054,2759,35493.00000,3646.00000,3646.00000,3688.00000,3689.00000,
1643824,Atopobiaceae,family,1560,1536,698,686,966,951,,,,0.44661,,,True,,2,201174.00000,84998.00000,84999.00000,1643824.00000,,
48461,Verrucomicrobiales,order,1128,1060,666,626,803,755,,,,0.59057,,,True,,2,74201.00000,203494.00000,48461.00000,,,
203494,Verrucomicrobiae,class,1128,1060,666,626,807,759,,,,0.59057,,,True,,2,74201.00000,203494.00000,,,,
119089,Chromadorea,class,20369,17174,3019,606,7964,5360,,,,0.03529,,,True,,2759,6231.00000,119089.00000,,,,
6231,Nematoda,phylum,20374,17178,3019,606,8147,5531,,,,0.03528,,,True,,2759,6231.00000,,,,,
186828,Carnobacteriaceae,family,1051,1023,611,601,722,708,,,,0.58749,,,True,,2,1239.00000,91061.00000,186826.00000,186828.00000,,
1647988,Akkermansiaceae,family,1051,987,629,591,748,703,,,,0.59878,,,True,,2,74201.00000,203494.00000,48461.00000,1647988.00000,,
239934,Akkermansia,genus,1051,987,629,591,739,694,19418.00000,19022.00000,0.97961,0.59878,1.00000,False,True,1.08533,2,74201.00000,203494.00000,48461.00000,1647988.00000,239934.00000,
2747,Carnobacterium,genus,907,879,599,589,665,652,24164.00000,22307.00000,0.92315,0.67008,1.00000,False,True,0.66192,2,1239.00000,91061.00000,186826.00000,186828.00000,2747.00000,
4890,Ascomycota,phylum,958,936,602,583,713,693,,,,0.62286,,,True,,2759,4890.00000,,,,,
1221880,Psychrobacillus,genus,1887,1803,560,554,887,869,9798.00000,9442.00000,0.96367,0.30727,1.00000,False,True,1.58294,2,1239.00000,91061.00000,1385.00000,186817.00000,1221880.00000,
85023,Microbacteriaceae,family,2024,1981,559,552,997,981,,,,0.27865,,,True,,2,201174.00000,1760.00000,85006.00000,85023.00000,,
4564,Triticum,genus,2606,2519,553,549,1054,1040,9129.00000,3198.00000,0.35031,0.21794,0.00000,True,True,0.29532,2759,35493.00000,4447.00000,38820.00000,4479.00000,4564.00000,
1506553,Lachnoclostridium,genus,2831,2751,558,549,1054,1029,,,,0.19956,,,True,,2,1239.00000,186801.00000,186802.00000,186803.00000,1506553.00000,
28216,Betaproteobacteria,class,2240,2179,542,535,1075,1052,,,,0.24553,,,True,,2,1224.00000,28216.00000,,,,
