taxid,scientific_name,level,total,unique,signature,unique_signature,weighted_support,unique_weighted_support,superkingdom,phylum,class,order,family,genus,species
2,Bacteria,superkingdom,199860,193122,182495,176968,190826,184718,2,,,,,,
1239,Firmicutes,phylum,154443,149226,132837,129104,140769,136522,2,1239,,,,,
91061,Bacilli,class,91414,88859,85525,83360,87601,85307,2,1239,91061,,,,
1385,Bacillales,order,87948,85514,82921,80822,84669,82461,2,1239,91061,1385,,,
186817,Bacillaceae,family,76960,74842,71475,69707,73561,71663,2,1239,91061,1385,186817,,
2651279,Pradoshia,genus,60150,58726,58650,57298,59228,57849,2,1239,91061,1385,186817,2651279,
2651284,Pradoshia sp. D12,species,60150,58726,58650,57298,59055,57687,2,1239,91061,1385,186817,2651279,2651284
2759,Eukaryota,superkingdom,62768,60328,45831,44599,53949,52137,2759,,,,,,
186801,Clostridia,class,64226,61407,42618,41219,50074,48218,2,1239,186801,,,,
186802,Clostridiales,order,63885,61078,42093,40724,49150,47340,2,1239,186801,186802,186802,186802,186802
7711,Chordata,phylum,42590,41245,28419,27774,32750,31895,2759,7711,,,,,
40674,Mammalia,class,41622,40359,28180,27541,32058,31246,2759,7711,40674,,,,
2157,Archaea,superkingdom,27873,27089,27236,26484,27543,26776,2157,,,,,,
28890,Euryarchaeota,phylum,27861,27077,27220,26468,27516,26750,2157,28890,,,,,
91561,Artiodactyla,order,36158,35339,27202,26590,29593,28930,2759,7711,40674,91561,,,
2158,Methanobacteriales,order,27717,26935,27075,26328,27380,26617,2157,28890,183925,2158,,,
183925,Methanobacteria,class,27717,26935,27075,26328,27381,26617,2157,28890,183925,,,,
2159,Methanobacteriaceae,family,27717,26935,27048,26304,27343,26583,2157,28890,183925,2158,2159,,
9895,Bovidae,family,36162,35340,25986,25413,28588,27954,2759,7711,40674,91561,9895,9895,9895
2172,Methanobrevibacter,genus,25322,24593,24263,23591,24700,24006,2157,28890,183925,2158,2159,2172,
976,Bacteroidetes,phylum,23302,22308,16855,16253,19394,18645,2,976,976,976,976,976,976
200643,Bacteroidia,class,20604,19713,14460,13966,16727,16101,2,976,200643,,,,
171549,Bacteroidales,order,20417,19535,14279,13797,16490,15880,2,976,200643,171549,,,
9903,Bos,genus,35766,34952,13626,13335,21508,21041,2759,7711,40674,91561,9895,9903,
77133,uncultured bacterium,species,41220,38082,8460,8142,17887,16895,2,77133,77133,77133,77133,77133,77133
186803,Lachnospiraceae,family,16016,15406,8235,7987,10741,10392,2,1239,186801,186802,186803,186803,186803
35493,Streptophyta,phylum,16550,15961,7843,7660,10165,9867,2759,35493,,,,,
541000,Ruminococcaceae,family,21034,19651,7088,6870,10856,10400,2,1239,186801,186802,541000,,
815,Bacteroidaceae,family,11795,11312,6906,6681,8532,8231,2,976,200643,171549,815,,
816,Bacteroides,genus,11760,11277,6888,6665,8414,8119,2,976,200643,171549,815,816,816
31979,Clostridiaceae,family,18088,17328,6691,6503,9452,9148,2,1239,186801,186802,31979,,
1224,Proteobacteria,phylum,19039,18381,6428,6253,10683,10345,2,1224,1224,1224,1224,1224,1224
201174,Actinobacteria,phylum,12162,11765,6352,6202,8541,8309,2,201174,,,,,
1609968,Methanobrevibacter sp. YE315,species,11094,10777,6326,6168,8077,7869,2157,28890,183925,2158,2159,2172,1609968
1485,Clostridium,genus,15292,14661,5987,5811,7713,7468,2,1239,186801,186802,31979,1485,1485
400634,Lysinibacillus,genus,8035,7819,5699,5575,6505,6354,2,1239,91061,1385,186817,400634,
1918454,Flintibacter,genus,19762,18290,5696,5550,9104,8768,2,1239,186801,186802,1918454,1918454,
2169540,Lysinibacillus sp. 2017,species,6807,6649,5338,5221,5762,5637,2,1239,91061,1385,186817,400634,2169540
1386,Bacillus,genus,10031,9466,5193,4975,6779,6446,2,1239,91061,1385,186817,1386,
2109688,Clostridiales bacterium CCNA10,species,23265,21459,5052,4923,9175,8824,2,1239,186801,186802,2109688,2109688,2109688
4447,Liliopsida,class,8155,7920,4816,4706,5618,5476,2759,35493,4447,,,,
