taxid,scientific_name,level,total,unique,signature,unique_signature,weighted_support,unique_weighted_support,superkingdom,phylum,class,order,family,genus,species
2,Bacteria,superkingdom,241616,234706,237420,230748,239483,232706,2,,,,,,
201174,Actinobacteria,phylum,212447,205760,192804,186943,201709,195521,2,201174,,,,,
1760,Actinobacteria,class,212207,205585,191633,185809,200148,194007,2,201174,1760,,,,
85006,Micrococcales,order,184840,178761,123371,119415,145964,141227,2,201174,1760,85006,,,
1268,Micrococcaceae,family,146303,140706,83918,80748,104608,100620,2,201174,1760,85006,1268,,
1663,Arthrobacter,genus,121596,116747,45128,43570,68209,65684,2,201174,1760,85006,1268,1663,1663
1224,Proteobacteria,phylum,42125,41514,26241,26102,33423,33093,2,1224,,,,,
28211,Alphaproteobacteria,class,28272,28018,19494,19433,22795,22660,2,1224,28211,,,,
356,Rhizobiales,order,24000,23837,17635,17590,19493,19417,2,1224,28211,356,,,
45401,Hyphomicrobiaceae,family,18011,17961,15549,15523,16321,16289,2,1224,28211,356,45401,,
85023,Microbacteriaceae,family,47741,46548,15281,15126,25211,24731,2,201174,1760,85006,85023,,
46913,Devosia,genus,17647,17607,15247,15221,15993,15963,2,1224,28211,356,45401,46913,
1461584,Arthrobacter saudimassiliensis,species,42011,40189,14537,13975,19922,19130,2,201174,1760,85006,1268,1663,1461584
2499144,Devosia sp. 1566,species,16579,16548,14293,14270,14981,14956,2,1224,28211,356,45401,46913,2499144
85007,Corynebacteriales,order,33851,32881,5155,5057,14539,14155,2,201174,1760,85007,,,
2062,Streptomycetaceae,family,27937,27183,4858,4742,11183,10897,2,201174,1760,85011,2062,2062,2062
85011,Streptomycetales,order,27933,27179,4858,4742,12169,11855,2,201174,1760,85011,,,
60919,Sanguibacter,genus,8307,8246,4616,4601,5530,5507,2,201174,1760,85006,145360,60919,
145360,Sanguibacteraceae,family,8307,8246,4616,4601,5674,5649,2,201174,1760,85006,145360,,
60920,Sanguibacter keddieii,species,8300,8239,4615,4600,5366,5345,2,201174,1760,85006,145360,60919,60920
