taxid,scientific_name,level,total,unique,signature,unique_signature,weighted_support,unique_weighted_support,superkingdom,phylum,class,order,family,genus,species
2,Bacteria,superkingdom,140067,138519,136674,135510,138258,136987,2,2,2,2,2,2,2
201174,Actinobacteria,phylum,88989,88181,80143,79428,84180,83425,2,201174,,,,,
1760,Actinobacteria,class,88712,87906,79204,78498,83166,82420,2,201174,1760,,,,
1239,Firmicutes,phylum,40935,40189,35866,35585,37963,37589,2,1239,,,,,
91061,Bacilli,class,39630,38895,34135,33866,36308,35961,2,1239,91061,,,,
1385,Bacillales,order,38671,37940,32074,31820,34622,34295,2,1239,91061,1385,,,
2070,Pseudonocardiaceae,family,47699,47186,23181,22916,30909,30565,2,201174,1760,85010,2070,,
85010,Pseudonocardiales,order,47699,47186,23181,22916,31658,31307,2,201174,1760,85010,,,
186817,Bacillaceae,family,31752,31408,20407,20297,24950,24757,2,1239,91061,1385,186817,,
1813,Amycolatopsis,genus,25846,25535,8644,8548,13273,13120,2,201174,1760,85010,2070,1813,
1224,Proteobacteria,phylum,17134,16974,7525,7505,11824,11743,2,1224,,,,,
85012,Streptosporangiales,order,16581,16482,6443,6419,9522,9477,2,201174,1760,85012,,,
1386,Bacillus,genus,15221,15082,6322,6296,9164,9113,2,1239,91061,1385,186817,1386,
2062,Streptomycetaceae,family,22294,22107,6241,6201,11025,10944,2,201174,1760,85011,2062,2062,2062
85011,Streptomycetales,order,22262,22075,6241,6201,11337,11251,2,201174,1760,85011,,,
1883,Streptomyces,genus,21761,21579,5895,5859,10077,10005,2,201174,1760,85011,2062,1883,1883
85007,Corynebacteriales,order,24302,24067,5580,5534,11742,11632,2,201174,1760,85007,,,
83676,Nocardiopsaceae,family,10687,10641,5074,5058,6732,6707,2,201174,1760,85012,83676,,
400634,Lysinibacillus,genus,10319,10093,3887,3857,5991,5905,2,1239,91061,1385,186817,400634,
1236,Gammaproteobacteria,class,9012,8902,3435,3426,5528,5483,2,1224,1236,,,,
186818,Planococcaceae,family,10624,10385,3365,3331,6269,6163,2,1239,91061,1385,186818,,
85006,Micrococcales,order,16755,16605,3348,3329,7268,7210,2,201174,1760,85006,,,
