taxid,scientific_name,level,total,unique,signature,unique_signature,weighted_support,unique_weighted_support,superkingdom,phylum,class,order,family,genus,species
2,Bacteria,superkingdom,442152,385075,377968,333625,405953,356820,2,,,,,,
976,Bacteroidetes,phylum,170658,151088,159600,141326,164648,145796,2,976,,,,,
200643,Bacteroidia,class,169323,149920,156758,138824,162418,143838,2,976,200643,,,,
171549,Bacteroidales,order,169267,149872,156697,138771,162332,143763,2,976,200643,171549,,,
815,Bacteroidaceae,family,142390,126052,125607,111199,132062,116930,2,976,200643,171549,815,,
816,Bacteroides,genus,142383,126045,125606,111198,131922,116807,2,976,200643,171549,815,816,
74201,Verrucomicrobia,phylum,72830,64229,70990,62623,71697,63239,2,74201,,,,,
203494,Verrucomicrobiae,class,72499,63934,70899,62543,71498,63065,2,74201,203494,,,,
48461,Verrucomicrobiales,order,72498,63933,70899,62543,71481,63050,2,74201,203494,48461,,,
239934,Akkermansia,genus,72438,63878,70885,62530,71353,62936,2,74201,203494,48461,1647988,239934,
1647988,Akkermansiaceae,family,72438,63878,70885,62530,71376,62956,2,74201,203494,48461,1647988,,
239935,Akkermansia muciniphila,species,72402,63848,70546,62233,71117,62729,2,74201,203494,48461,1647988,239934,239935
1239,Firmicutes,phylum,86237,70259,62746,54782,69972,60400,2,1239,,,,,
186801,Clostridia,class,66269,57698,50470,44061,56597,49380,2,1239,186801,,,,
186802,Clostridiales,order,65955,57434,50161,43804,56095,48954,2,1239,186801,186802,,,
2759,Eukaryota,superkingdom,97554,81154,34639,30850,62019,53497,2759,,,,,,
7711,Chordata,phylum,78297,64333,32646,29022,42686,37205,2759,7711,,,,,
40674,Mammalia,class,65817,58261,31947,28360,39044,34636,2759,7711,40674,,,,
203691,Spirochaetes,phylum,24214,21524,22867,20352,23350,20772,2,203691,,,,,
203692,Spirochaetia,class,24214,21524,22867,20352,23282,20713,2,203691,203692,,,,
136,Spirochaetales,order,24093,21422,22847,20336,23231,20670,2,203691,203692,136,,,
137,Spirochaetaceae,family,24082,21414,22838,20329,23140,20593,2,203691,203692,136,137,,
157,Treponema,genus,23888,21243,22772,20270,23020,20486,2,203691,203692,136,137,157,
77133,uncultured bacterium,species,148872,131592,22626,19806,59533,52518,2,77133,77133,77133,77133,77133,77133
167,Treponema succinifaciens,species,23513,20913,22604,20118,22787,20278,2,203691,203692,136,137,157,167
948950,Pilosa,order,25530,22356,21860,19200,23202,20357,2759,7711,40674,948950,,,
227508,Megalonychidae,family,25527,22353,21828,19172,23092,20264,2759,7711,40674,948950,227508,,
9357,Choloepus,genus,25527,22353,21823,19168,23032,20213,2759,7711,40674,948950,227508,9357,
9358,Choloepus hoffmanni,species,25465,22294,21724,19082,22925,20118,2759,7711,40674,948950,227508,9357,9358
2005525,Tannerellaceae,family,24926,22140,17934,15947,19932,17714,2,976,200643,171549,2005525,,
375288,Parabacteroides,genus,24620,21867,17856,15878,19696,17504,2,976,200643,171549,2005525,375288,
201174,Actinobacteria,phylum,26655,21442,17553,15425,20330,17632,2,201174,,,,,
541000,Ruminococcaceae,family,35762,31239,17527,15435,23177,20329,2,1239,186801,186802,541000,541000,541000
1224,Proteobacteria,phylum,84893,69949,16237,14482,34297,29726,2,1224,,,,,
84998,Coriobacteriia,class,17787,13960,13325,11780,14380,12534,2,201174,84998,,,,
84999,Coriobacteriales,order,14587,12929,12697,11235,13380,11850,2,201174,84998,84999,,,
1643824,Atopobiaceae,family,14066,12465,12433,11001,12968,11482,2,201174,84998,84999,1643824,,
47678,Bacteroides caccae,species,20166,17950,11917,10637,14214,12670,2,976,200643,171549,815,816,47678
133925,Olsenella,genus,13642,12083,11816,10467,12383,10968,2,201174,84998,84999,1643824,133925,
1236,Gammaproteobacteria,class,72666,59958,11619,10353,25578,22202,2,1224,1236,,,,
604330,Olsenella umbonata,species,12903,11434,11243,9948,11758,10409,2,201174,84998,84999,1643824,133925,604330
91347,Enterobacterales,order,68821,56496,10615,9439,23267,20168,2,1224,1236,91347,,,
329854,Bacteroides intestinalis,species,15919,14093,9434,8351,11903,10531,2,976,200643,171549,815,816,329854
543,Enterobacteriaceae,family,67796,55575,9163,8119,21674,18780,2,1224,1236,91347,543,,
820,Bacteroides uniformis,species,56967,50218,9095,8127,29340,25923,2,976,200643,171549,815,816,820
246787,Bacteroides cellulosilyticus,species,19167,16946,8935,7920,12076,10688,2,976,200643,171549,815,816,246787
1550024,Ruthenibacterium lactatiformans,species,11727,10403,8049,7274,8740,7854,2,1239,186801,186802,541000,1905344,1550024
1905344,Ruthenibacterium,genus,11727,10403,8049,7274,8772,7882,2,1239,186801,186802,541000,1905344,
186803,Lachnospiraceae,family,21267,18472,7932,6884,11750,10196,2,1239,186801,186802,186803,186803,186803
28116,Bacteroides ovatus,species,24167,21475,5059,4455,10298,9123,2,976,200643,171549,815,816,28116
818,Bacteroides thetaiotaomicron,species,13982,12492,4414,3964,6474,5798,2,976,200643,171549,815,816,818
2157,Archaea,superkingdom,4411,3883,4009,3521,4202,3695,2157,,,,,,
28890,Euryarchaeota,phylum,4388,3861,3984,3501,4148,3648,2157,28890,,,,,
1760,Actinobacteria,class,9668,8192,3898,3342,5699,4905,2,201174,1760,,,,
128827,Erysipelotrichaceae,family,5791,5074,3666,3199,4214,3683,2,1239,526524,526525,128827,,
526524,Erysipelotrichia,class,5791,5074,3666,3199,4513,3949,2,1239,526524,,,,
526525,Erysipelotrichales,order,5791,5074,3666,3199,4501,3939,2,1239,526524,526525,,,
823,Parabacteroides distasonis,species,23973,21307,3567,3136,11563,10263,2,976,200643,171549,2005525,375288,823
216851,Faecalibacterium,genus,14313,12387,3313,2851,5996,5169,2,1239,186801,186802,541000,216851,216851
853,Faecalibacterium prausnitzii,species,14309,12383,3313,2851,5879,5069,2,1239,186801,186802,541000,216851,853
2528203,Bacteroides sp. A1C1,species,47769,41972,3227,2836,22999,20203,2,976,200643,171549,815,816,2528203
561,Escherichia,genus,65963,53963,3001,2672,14079,12125,2,1224,1236,91347,543,561,561
9989,Rodentia,order,29695,26483,2928,2864,7951,7303,2759,7711,40674,9989,,,
171550,Rikenellaceae,family,7731,6871,2919,2599,3985,3552,2,976,200643,171549,171550,,
239759,Alistipes,genus,7675,6824,2899,2584,3869,3452,2,976,200643,171549,171550,239759,
817,Bacteroides fragilis,species,15031,13272,2883,2505,5339,4696,2,976,200643,171549,815,816,817
1505663,Erysipelatoclostridium,genus,3299,2896,2852,2496,2977,2609,2,1239,526524,526525,128827,1505663,
1547,Erysipelatoclostridium ramosum,species,3063,2689,2847,2492,2927,2564,2,1239,526524,526525,128827,1505663,1547
10066,Muridae,family,29482,26289,2829,2771,7650,7030,2759,7711,40674,9989,10066,,
216572,Oscillospiraceae,family,11205,9734,2785,2454,5411,4720,2,1239,186801,186802,216572,,
91061,Bacilli,class,18687,11267,2715,2371,6369,4931,2,1239,91061,,,,
562,Escherichia coli,species,65849,53853,2711,2423,9508,8138,2,1224,1236,91347,543,561,562
2005473,Muribaculaceae,family,4562,3999,2675,2335,3241,2829,2,976,200643,171549,2005473,,
1263,Ruminococcus,genus,5471,4667,2670,2295,3383,2887,2,1239,186801,186802,541000,1263,
2158,Methanobacteriales,order,2696,2386,2636,2334,2661,2355,2157,28890,183925,2158,,,
183925,Methanobacteria,class,2696,2386,2636,2334,2661,2356,2157,28890,183925,,,,
2159,Methanobacteriaceae,family,2693,2383,2636,2334,2658,2353,2157,28890,183925,2158,2159,,
2172,Methanobrevibacter,genus,2637,2332,2584,2286,2604,2304,2157,28890,183925,2158,2159,2172,
2109688,Clostridiales bacterium CCNA10,species,19974,17295,2547,2226,5669,4928,2,1239,186801,186802,2109688,2109688,2109688
224719,Methanobrevibacter sp. AbM4,species,2611,2308,2512,2220,2548,2253,2157,28890,183925,2158,2159,2172,224719
10088,Mus,genus,27997,24952,2418,2368,6134,5666,2759,7711,40674,9989,10066,10088,
10090,Mus musculus,species,27992,24948,2404,2355,4747,4449,2759,7711,40674,9989,10066,10088,10090
1392389,Intestinimonas,genus,13478,11682,2130,1824,5150,4477,2,1239,186801,186802,1392389,1392389,
1506553,Lachnoclostridium,genus,9616,8385,2052,1779,3515,3058,2,1239,186801,186802,186803,1506553,
28221,Deltaproteobacteria,class,3970,3559,1850,1662,2466,2217,2,1224,28221,,,,
1918540,Muribaculum,genus,3888,3403,1806,1563,2453,2132,2,976,200643,171549,2005473,1918540,
1161942,Ruminococcus champanellensis,species,3107,2623,1765,1511,2166,1835,2,1239,186801,186802,541000,1263,1161942
572511,Blautia,genus,8886,7813,1636,1420,3195,2789,2,1239,186801,186802,186803,572511,
213115,Desulfovibrionales,order,2477,2223,1587,1431,1825,1644,2,1224,28221,213115,,,
