Taxon	G1.16S.15.S72.L001.	G1.16S.2.S64.L001.	G3.13S.57.S7.L001.	G3.14S.57.S8.L001.	G1.16S.29.S76.L001.	G1.16S.57.S80.L001.	G1.3U.15.S12.L001.	G1.6S.57.S79.L001.	G2.10S.22.S93.L001.	G2.11S.8.S90.L001.	G2.9U.15.S32.L001.	G2.9U.22.S34.L001.	G2.9U.29.S36.L001.	G2.9U.43.S38.L001.	G2.9U.8.S30.L001.	G3.13S.29.S115.L001.	G3.14S.22.S114.L001.	G3.14S.8.S110.L001.	G1.6S.22.S73.L001.	G1.6S.43.S77.L001.	G1.7U.15.S11.L001.	G2.10S.43.S97.L001.	G2.10S.57.S99.L001.	G3.13S.8.S109.L001.	G1.6S.4.S65.L001.	G1.6S.8.S69.L001.	G2.10S.15.S91.L001.	G3.14S.43.S6.L001.	G2.11S.4.S86.L001.	G2.19U.29.S35.L001.	G3.13S.22.S113.L001.	G2.10S.8.S89.L001.	G2.11S.6.S88.L001.	G2.9U.4.S26.L001.	G3.14S.15.S112.L001.	G2.10S.4.S85.L001.	G2.10S.29.S95.L001.	G2.10S.0.S81.L001.	G1.6S.0.S61.L001.	G1.16S.6.S68.L001.	G3.13S.15.S111.L001.	G3.13S.43.S5.L001.	G1.7U.57.S19.L001.	G1.7U.8.S9.L001.	G1.7U.22.S13.L001.	G1.7U.6.S7.L001.	G1.7U.29.S15.L001.	G1.3U.4.S6.L001.	G1.3U.43.S18.L001.	G3.13S.6.S107.L001.	G3.14S.4.S106.L001.	G2.10S.6.S87.L001.	G3.14S.6.S108.L001.	G3.15U.6.S47.L001.	G2.11S.0.S82.L001.	G1.7U.2.S3.L001.	G2.19U.15.S31.L001.	G1.16S.0.S62.L001.	G2.11S.57.S100.L001.	G2.19U.57.S39.L001.	G1.16S.4.S66.L001.	G1.7U.0.S1.L001.	G3.14S.29.S116.L001.	G3.15U.0.S41.L001.	G3.15U.2.S43.L001.	G1.3U.0.S2.L001.	G3.18U.4.S46.L001.	G3.15U.43.S1.L001.	G1.6S.6.S67.L001.	G1.16S.43.S78.L001.	G2.11S.15.S92.L001.	G2.10S.2.S83.L001.	G1.16S.8.S70.L001.	G3.18U.57.S4.L001.	G2.19U.0.S21.L001.	G1.3U.8.S10.L001.	G3.18U.2.S44.L001.	G3.14S.2.S104.L001.	G2.11S.29.S96.L001.	G3.18U.0.S42.L001.	G1.3U.29.S16.L001.	G2.19U.4.S25.L001.	G1.3U.6.S8.L001.	G1.6S.29.S75.L001.	G2.11S.43.S98.L001.	G2.11S.22.S94.L001.	G3.18U.6.S48.L001.	G3.14S.0.S102.L001.	G3.18U.22.S54.L001.	G3.15U.57.S3.L001.	G1.6S.2.S63.L001.	G3.15U.4.S45.L001.	G2.11S.2.S84.L001.	G3.13S.4.S105.L001.	G2.9U.0.S22.L001.	G2.19U.2.S23.L001.	G2.9U.6.S28.L001.	G3.13S.0.S101.L001.	G2.19U.8.S29.L001.	G1.16S.22.S74.L001.	G3.18U.29.S56.L001.	G1.3U.2.S4.L001.	G2.9U.57.S40.L001.	G3.15U.8.S49.L001.	G1.7U.4.S5.L001.	G2.19U.22.S33.L001.	G3.18U.8.S50.L001.	G1.7U.43.S17.L001.	G1.3U.22.S14.L001.	G3.15U.29.S55.L001.	G3.15U.15.S51.L001.	G3.13S.2.S103.L001.	G1.16S.15.S9.L001.	G2.19U.43.S37.L001.	G2.19U.6.S27.L001.	G3.15U.22.S53.L001.	G3.18U.15.S52.L001.	G1.3U.57.S20.L001.	G2.9U.2.S24.L001.
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales	0.0	4.7063253012e-05	0.0	1.68990283059e-05	0.0	4.52724268284e-05	0.0	0.0	0.0	3.24485690181e-05	0.0	0.0	0.0	3.92958189249e-05	0.0	7.12436771237e-05	0.0	0.000229937916762	0.0	0.0	0.0	3.04404736538e-05	0.0	0.0002665482008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.87679015268e-05	0.0	0.0	0.0	5.46134731438e-05	0.0	0.000571311977148	0.0	0.0	3.1829901009e-05	0.0	7.62854091441e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00215160133548	0.000773251677956	8.12611734113e-05	0.000953364582506	0.000538979788258	9.90687537151e-05	7.93273044582e-05	2.48354650441e-05	0.00023423317913	0.0	0.0	3.26615932325e-05	0.0	6.89464975179e-05	0.000601706013521	0.000904634060931	0.0	0.00121423456521	9.42755863941e-06	0.0	0.0	0.0	0.00057645631068	0.0	0.0	8.36820083682e-05	0.0	0.00160605712975	0.00219178082192	0.0	0.00130050286111	0.0	0.0	0.0	0.0	0.0	0.0	0.00162792212021	0.00198597405821	0.0	0.0	0.0	0.0	0.0	7.41509713777e-05	6.38895987733e-05	0.0	3.40390768602e-05	0.00315104274638	0.0	0.0	8.4015963033e-05	0.0	0.0	0.000219538968167	0.0	0.0	0.000445616250139	0.0	0.0	0.0	8.37427422957e-05	0.0028962611901	0.0	0.0	0.0	0.0	0.000113804483897	0.0	0.0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.44247001333e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06520590268e-05	7.53068755177e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.09300671182e-05	0.0	0.0	0.0	9.90687537151e-05	2.64424348194e-05	0.0	0.0	0.0	0.0	3.26615932325e-05	4.7270148901e-05	0.0	0.00407036420911	0.00227617602428	0.000110283981252	3.11342196208e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000292887029289	0.0	0.0	6.44641418211e-05	0.0	0.000173400381481	0.0	3.78658790564e-05	0.0	0.0	0.0	0.0	0.0	0.000248246757277	0.0	0.0	0.0	0.00100297758972	0.0	0.0	0.00146946077179	0.000243664717349	0.0	0.0	0.0	0.0	0.0	8.34654870211e-05	0.0	0.0	3.2662660047e-05	0.0	0.0	0.0	0.0	0.0	5.58284948638e-05	7.52275633792e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Archaea;Euryarchaeota;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.44247001333e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.08079983677e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.97235242711e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000106183414151	0.0	0.0	3.11342196208e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000173400381481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.20616893192e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00019166879632	8.12215724496e-05	0.0	4.14610887682e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Archaea;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.44247001333e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Acidobacteria;Acidobacteria_Gp10;Gp10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.94464075383e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Acidobacteria;Acidobacteria_Gp16;Gp16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68990746718e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Acidobacteria;Acidobacteria_Gp3;Gp3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1829901009e-05	0.0	0.0	0.0	3.6060726263e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.40785169029e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32955983219e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000170253336965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4	0.0	0.0	2.10048731306e-05	0.0	0.0	0.0	0.0	0.0	2.91120815138e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.37478923746e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.70776255708e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000136202669572	0.0	0.0	0.0	0.0	0.0	9.75609756098e-05	5.37981493437e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.40506673931e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.68990746718e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Acidobacteria;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11885974488e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
